time_ns,sample,rst,start,busy,done,cycle_count,pe_active_hex,active_count,c00,c03,c30,c33
2945,294,0,0,1,0,2,19,3,16,0,0,0
2955,295,0,0,1,0,3,311,6,28,0,0,0
2965,296,0,0,1,0,4,4991,10,36,0,-30,0
2975,297,0,0,1,0,5,14334,12,36,6,-22,0
2985,298,0,0,1,0,6,32748,12,36,10,-31,0
2995,299,0,0,1,0,7,65224,10,36,-2,-51,-20
3005,300,0,0,1,0,8,60544,6,36,-2,-51,-17
3015,301,0,0,1,0,9,51200,3,36,-2,-51,-20
3025,302,0,0,0,0,9,32768,1,36,-2,-51,10
3035,303,0,0,0,1,9,32768,1,36,-2,-51,10
3045,304,0,1,1,0,0,0,0,0,0,0,0
3055,305,0,0,1,0,1,1,1,8,0,0,0
3065,306,0,0,1,0,2,19,3,8,0,0,0
3075,307,0,0,1,0,3,311,6,-28,0,0,0
3085,308,0,0,1,0,4,4991,10,-19,-16,-4,0
3095,309,0,0,1,0,5,14334,12,-19,-52,-4,0
3105,310,0,0,1,0,6,32748,12,-19,-70,2,0
3115,311,0,0,1,0,7,65224,10,-19,-67,5,8
3125,312,0,0,1,0,8,60544,6,-19,-67,5,-28
3135,313,0,0,1,0,9,51200,3,-19,-67,5,-25
3145,314,0,0,0,0,9,32768,1,-19,-67,5,-24
3155,315,0,0,0,1,9,32768,1,-19,-67,5,-24
3165,316,0,1,1,0,0,0,0,0,0,0,0
3175,317,0,0,1,0,1,1,1,-20,0,0,0
3185,318,0,0,1,0,2,19,3,-20,0,0,0
3195,319,0,0,1,0,3,311,6,-30,0,0,0
3205,320,0,0,1,0,4,4991,10,-30,0,-20,0
3215,321,0,0,1,0,5,14334,12,-30,0,-28,0
3225,322,0,0,1,0,6,32748,12,-30,2,-43,0
3235,323,0,0,1,0,7,65224,10,-30,2,-99,0
3245,324,0,0,1,0,8,60544,6,-30,2,-99,-16
3255,325,0,0,1,0,9,51200,3,-30,2,-99,-13
3265,326,0,0,0,0,9,32768,1,-30,2,-99,36
3275,327,0,0,0,1,9,32768,1,-30,2,-99,36
3285,328,0,1,1,0,0,0,0,0,0,0,0
3295,329,0,0,1,0,1,1,1,-9,0,0,0
3305,330,0,0,1,0,2,19,3,-33,0,0,0
3315,331,0,0,1,0,3,311,6,-18,0,0,0
3325,332,0,0,1,0,4,4991,10,-10,-18,-21,0
3335,333,0,0,1,0,5,14334,12,-10,30,-42,0
3345,334,0,0,1,0,6,32748,12,-10,18,-17,0
3355,335,0,0,1,0,7,65224,10,-10,18,-29,-42
3365,336,0,0,1,0,8,60544,6,-10,18,-29,0
3375,337,0,0,1,0,9,51200,3,-10,18,-29,-20
3385,338,0,0,0,0,9,32768,1,-10,18,-29,-20
3395,339,0,0,0,1,9,32768,1,-10,18,-29,-20
3405,340,0,1,1,0,0,0,0,0,0,0,0
3415,341,0,0,1,0,1,1,1,-2,0,0,0
3425,342,0,0,1,0,2,19,3,-32,0,0,0
3435,343,0,0,1,0,3,311,6,-74,0,0,0
3445,344,0,0,1,0,4,4991,10,-65,0,-1,0
3455,345,0,0,1,0,5,14334,12,-65,-25,-7,0
3465,346,0,0,1,0,6,32748,12,-65,-13,0,0
3475,347,0,0,1,0,7,65224,10,-65,-25,24,0
3485,348,0,0,1,0,8,60544,6,-65,-25,24,-5
3495,349,0,0,1,0,9,51200,3,-65,-25,24,-7
3505,350,0,0,0,0,9,32768,1,-65,-25,24,-39
3515,351,0,0,0,1,9,32768,1,-65,-25,24,-39
3525,352,0,1,1,0,0,0,0,0,0,0,0
3535,353,0,0,1,0,1,1,1,28,0,0,0
3545,354,0,0,1,0,2,19,3,52,0,0,0
3555,355,0,0,1,0,3,311,6,40,0,0,0
3565,356,0,0,1,0,4,4991,10,33,-21,-8,0
3575,357,0,0,1,0,5,14334,12,33,3,-14,0
3585,358,0,0,1,0,6,32748,12,33,23,7,0
3595,359,0,0,1,0,7,65224,10,33,24,-35,6
3605,360,0,0,1,0,8,60544,6,33,24,-35,0
3615,361,0,0,1,0,9,51200,3,33,24,-35,-35
3625,362,0,0,0,0,9,32768,1,33,24,-35,-29
3635,363,0,0,0,1,9,32768,1,33,24,-35,-29
3645,364,0,1,1,0,0,0,0,0,0,0,0
3655,365,0,0,1,0,1,1,1,16,0,0,0
3665,366,0,0,1,0,2,19,3,11,0,0,0
3675,367,0,0,1,0,3,311,6,3,0,0,0
3685,368,0,0,1,0,4,4991,10,59,8,-20,0
3695,369,0,0,1,0,5,14334,12,59,15,10,0
3705,370,0,0,1,0,6,32748,12,59,8,42,0
3715,371,0,0,1,0,7,65224,10,59,-34,106,-10
3725,372,0,0,1,0,8,60544,6,59,-34,106,-52
3735,373,0,0,1,0,9,51200,3,59,-34,106,-24
3745,374,0,0,0,0,9,32768,1,59,-34,106,-72
3755,375,0,0,0,1,9,32768,1,59,-34,106,-72
3765,376,0,1,1,0,0,0,0,0,0,0,0
3775,377,0,0,1,0,1,1,1,-2,0,0,0
3785,378,0,0,1,0,2,19,3,7,0,0,0
3795,379,0,0,1,0,3,311,6,-5,0,0,0
3805,380,0,0,1,0,4,4991,10,-21,-4,-16,0
3815,381,0,0,1,0,5,14334,12,-21,14,-19,0
3825,382,0,0,1,0,6,32748,12,-21,28,-13,0
3835,383,0,0,1,0,7,65224,10,-21,-36,-7,-32
3845,384,0,0,1,0,8,60544,6,-21,-36,-7,-38
3855,385,0,0,1,0,9,51200,3,-21,-36,-7,-45
3865,386,0,0,0,0,9,32768,1,-21,-36,-7,-21
3875,387,0,0,0,1,9,32768,1,-21,-36,-7,-21
3885,388,0,1,1,0,0,0,0,0,0,0,0
3895,389,0,0,1,0,1,1,1,-35,0,0,0
3905,390,0,0,1,0,2,19,3,-50,0,0,0
3915,391,0,0,1,0,3,311,6,-71,0,0,0
3925,392,0,0,1,0,4,4991,10,-70,-56,5,0
3935,393,0,0,1,0,5,14334,12,-70,-46,26,0
3945,394,0,0,1,0,6,32748,12,-70,-55,61,0
3955,395,0,0,1,0,7,65224,10,-70,-62,57,8
3965,396,0,0,1,0,8,60544,6,-70,-62,57,-6
3975,397,0,0,1,0,9,51200,3,-70,-62,57,9
3985,398,0,0,0,0,9,32768,1,-70,-62,57,37
3995,399,0,0,0,1,9,32768,1,-70,-62,57,37
4005,400,0,1,1,0,0,0,0,0,0,0,0
4015,401,0,0,1,0,1,1,1,56,0,0,0
4025,402,0,0,1,0,2,19,3,62,0,0,0
4035,403,0,0,1,0,3,311,6,78,0,0,0
4045,404,0,0,1,0,4,4991,10,53,-8,28,0
4055,405,0,0,1,0,5,14334,12,53,4,43,0
4065,406,0,0,1,0,6,32748,12,53,-60,47,0
4075,407,0,0,1,0,7,65224,10,53,-20,7,-4
4085,408,0,0,1,0,8,60544,6,53,-20,7,26
4095,409,0,0,1,0,9,51200,3,53,-20,7,10
4105,410,0,0,0,0,9,32768,1,53,-20,7,74
4115,411,0,0,0,1,9,32768,1,53,-20,7,74
4125,412,0,1,1,0,0,0,0,0,0,0,0
4135,413,0,0,1,0,1,1,1,18,0,0,0
4145,414,0,0,1,0,2,19,3,12,0,0,0
4155,415,0,0,1,0,3,311,6,2,0,0,0
4165,416,0,0,1,0,4,4991,10,10,-21,6,0
4175,417,0,0,1,0,5,14334,12,10,-22,-12,0
4185,418,0,0,1,0,6,32748,12,10,-52,-24,0
4195,419,0,0,1,0,7,65224,10,10,-42,-32,-7
4205,420,0,0,1,0,8,60544,6,10,-42,-32,-10
4215,421,0,0,1,0,9,51200,3,10,-42,-32,-46
4225,422,0,0,0,0,9,32768,1,10,-42,-32,-56
4235,423,0,0,0,1,9,32768,1,10,-42,-32,-56
4245,424,0,1,1,0,0,0,0,0,0,0,0
4255,425,0,0,1,0,1,1,1,18,0,0,0
4265,426,0,0,1,0,2,19,3,23,0,0,0
4275,427,0,0,1,0,3,311,6,65,0,0,0
4285,428,0,0,1,0,4,4991,10,68,24,-18,0
4295,429,0,0,1,0,5,14334,12,68,24,-38,0
4305,430,0,0,1,0,6,32748,12,68,18,4,0
4315,431,0,0,1,0,7,65224,10,68,22,1,-24
4325,432,0,0,1,0,8,60544,6,68,22,1,-24
4335,433,0,0,1,0,9,51200,3,68,22,1,-30
4345,434,0,0,0,0,9,32768,1,68,22,1,-34
4355,435,0,0,0,1,9,32768,1,68,22,1,-34
4365,436,0,1,1,0,0,0,0,0,0,0,0
4375,437,0,0,1,0,1,1,1,20,0,0,0
4385,438,0,0,1,0,2,19,3,60,0,0,0
4395,439,0,0,1,0,3,311,6,84,0,0,0
4405,440,0,0,1,0,4,4991,10,76,24,-10,0
4415,441,0,0,1,0,5,14334,12,76,9,30,0
4425,442,0,0,1,0,6,32748,12,76,-27,34,0
4435,443,0,0,1,0,7,65224,10,76,-59,30,-12
4445,444,0,0,1,0,8,60544,6,76,-59,30,-27
4455,445,0,0,1,0,9,51200,3,76,-59,30,-33
4465,446,0,0,0,0,9,32768,1,76,-59,30,-49
4475,447,0,0,0,1,9,32768,1,76,-59,30,-49
4485,448,0,1,1,0,0,0,0,0,0,0,0
4495,449,0,0,1,0,1,1,1,6,0,0,0
4505,450,0,0,1,0,2,19,3,22,0,0,0
4515,451,0,0,1,0,3,311,6,46,0,0,0
