time_ns,sample,mode,a,b,valid_in,clear,acc,sat_flag,fp_flag
798825,39939,0,127,127,1,0,643599712,0,0
802825,40139,0,127,127,1,0,646825512,0,0
806845,40340,0,127,127,1,0,650067441,0,0
810845,40540,0,127,127,1,0,653293241,0,0
814845,40740,0,127,127,1,0,656519041,0,0
818845,40940,0,127,127,1,0,659744841,0,0
822865,41141,0,127,127,1,0,662986770,0,0
826865,41341,0,127,127,1,0,666212570,0,0
830865,41541,0,127,127,1,0,669438370,0,0
834885,41742,0,127,127,1,0,672680299,0,0
838885,41942,0,127,127,1,0,675906099,0,0
842885,42142,0,127,127,1,0,679131899,0,0
846905,42343,0,127,127,1,0,682373828,0,0
850905,42543,0,127,127,1,0,685599628,0,0
854905,42743,0,127,127,1,0,688825428,0,0
858905,42943,0,127,127,1,0,692051228,0,0
862925,43144,0,127,127,1,0,695293157,0,0
866925,43344,0,127,127,1,0,698518957,0,0
870925,43544,0,127,127,1,0,701744757,0,0
874945,43745,0,127,127,1,0,704986686,0,0
878945,43945,0,127,127,1,0,708212486,0,0
882945,44145,0,127,127,1,0,711438286,0,0
886945,44345,0,127,127,1,0,714664086,0,0
890965,44546,0,127,127,1,0,717906015,0,0
894965,44746,0,127,127,1,0,721131815,0,0
898965,44946,0,127,127,1,0,724357615,0,0
902985,45147,0,127,127,1,0,727599544,0,0
906985,45347,0,127,127,1,0,730825344,0,0
910985,45547,0,127,127,1,0,734051144,0,0
915005,45748,0,127,127,1,0,737293073,0,0
919005,45948,0,127,127,1,0,740518873,0,0
923005,46148,0,127,127,1,0,743744673,0,0
927005,46348,0,127,127,1,0,746970473,0,0
931025,46549,0,127,127,1,0,750212402,0,0
935025,46749,0,127,127,1,0,753438202,0,0
939025,46949,0,127,127,1,0,756664002,0,0
943045,47150,0,127,127,1,0,759905931,0,0
947045,47350,0,127,127,1,0,763131731,0,0
951045,47550,0,127,127,1,0,766357531,0,0
955065,47751,0,127,127,1,0,769599460,0,0
959065,47951,0,127,127,1,0,772825260,0,0
963065,48151,0,127,127,1,0,776051060,0,0
967065,48351,0,127,127,1,0,779276860,0,0
971085,48552,0,127,127,1,0,782518789,0,0
975085,48752,0,127,127,1,0,785744589,0,0
979085,48952,0,127,127,1,0,788970389,0,0
983105,49153,0,127,127,1,0,792212318,0,0
987105,49353,0,127,127,1,0,795438118,0,0
991105,49553,0,127,127,1,0,798663918,0,0
995105,49753,0,127,127,1,0,801889718,0,0
999125,49954,0,127,127,1,0,805131647,0,0
1003125,50154,0,127,127,1,0,808357447,0,0
1007125,50354,0,127,127,1,0,811583247,0,0
1011145,50555,0,127,127,1,0,814825176,0,0
1015145,50755,0,127,127,1,0,818050976,0,0
1019145,50955,0,127,127,1,0,821276776,0,0
1023165,51156,0,127,127,1,0,824518705,0,0
1027165,51356,0,127,127,1,0,827744505,0,0
1031165,51556,0,127,127,1,0,830970305,0,0
1035165,51756,0,127,127,1,0,834196105,0,0
1039185,51957,0,127,127,1,0,837438034,0,0
1043185,52157,0,127,127,1,0,840663834,0,0
1047185,52357,0,127,127,1,0,843889634,0,0
1051205,52558,0,127,127,1,0,847131563,0,0
1055205,52758,0,127,127,1,0,850357363,0,0
1059205,52958,0,127,127,1,0,853583163,0,0
1063225,53159,0,127,127,1,0,856825092,0,0
1067225,53359,0,127,127,1,0,860050892,0,0
1071225,53559,0,127,127,1,0,863276692,0,0
1075225,53759,0,127,127,1,0,866502492,0,0
1079245,53960,0,127,127,1,0,869744421,0,0
1083245,54160,0,127,127,1,0,872970221,0,0
1087245,54360,0,127,127,1,0,876196021,0,0
1091265,54561,0,127,127,1,0,879437950,0,0
1095265,54761,0,127,127,1,0,882663750,0,0
1099265,54961,0,127,127,1,0,885889550,0,0
1103265,55161,0,127,127,1,0,889115350,0,0
1107285,55362,0,127,127,1,0,892357279,0,0
1111285,55562,0,127,127,1,0,895583079,0,0
1115285,55762,0,127,127,1,0,898808879,0,0
1119305,55963,0,127,127,1,0,902050808,0,0
1123305,56163,0,127,127,1,0,905276608,0,0
1127305,56363,0,127,127,1,0,908502408,0,0
1131325,56564,0,127,127,1,0,911744337,0,0
1135325,56764,0,127,127,1,0,914970137,0,0
1139325,56964,0,127,127,1,0,918195937,0,0
1143325,57164,0,127,127,1,0,921421737,0,0
1147345,57365,0,127,127,1,0,924663666,0,0
